path_id,period_index,simulation_year,period_in_year,equity_log_return,muni_bond_log_return,taxable_bond_log_return
P000051,1,1,1,0.00023890146802330037,0.083748544210727971,0.18667889309836472
P000051,2,2,1,-0.17700916882355155,-0.032686065786418972,-0.0048902815163356372
P000051,3,3,1,0.21422159536005081,0.055948578295781815,0.062720407373099363
P000051,4,4,1,0.27130943937796159,0.063645352538164168,0.11370765610533518
P000051,5,5,1,0.33705136367038913,-0.0040239014863674427,0.077582515461696921
P000051,6,6,1,0.42786824257278155,0.10608764396756065,0.18316470024342646
P000051,7,7,1,0.017397973694636359,-0.001360216678300219,-0.0052031018210945135
P000051,8,8,1,0.043563937851827106,0.026356371336334838,0.013988599689229275
P000051,9,9,1,0.04992422817731601,0.072395492458912969,-0.053090372219834592
P000051,10,10,1,0.17728389587794169,0.019124928849826084,0.022099158087476312
P000051,11,11,1,-0.097423280751415042,0.10112713312250143,0.046471064480066104
P000051,12,12,1,-0.28456897378851442,-0.042029831932286932,-0.11487328996199064
P000051,13,13,1,0.057883570083804958,0.036381182577798654,0.030226271580131137
P000051,14,14,1,0.17422361757469362,0.041780762135326555,0.059575143794856622
P000051,15,15,1,0.14669537177256675,-0.0076671638416350163,-0.018540578952694453
P000051,16,16,1,-0.059213969489445351,0.05101288459003861,-0.018583020773522918
P000051,17,17,1,0.10018700811000469,-0.0060168064090602158,0.011469249223418743
P000051,18,18,1,-0.39272991591826045,0.061907386498172734,-0.020926467176050512
P000051,19,19,1,-0.22604823805469065,0.032966837152699213,0.13661648199177989
P000051,20,20,1,0.21027599642755002,-0.0087044842184313964,0.037668350288967645
P000051,21,21,1,-0.083142773674218962,0.00069972305348642294,0.033946528065987192
P000051,22,22,1,0.060769687090637348,0.043933618692772569,0.047630183020234362
P000051,23,23,1,0.19468076015965874,0.0090162465122309854,0.091647593444760922
P000051,24,24,1,0.10618303577946042,0.065651744122503075,0.069833170044663717
P000051,25,25,1,-0.055838183441497158,0.023302468641168694,0.12763056006788265
P000051,26,26,1,-0.19889656905548136,0.07355674976092974,0.0056209079622302482
P000051,27,27,1,0.039957758507094709,0.016019157472724643,-0.0012791291654692394
P000051,28,28,1,-0.3438387171733428,0.1001922199246259,0.091995101394971801
P000051,29,29,1,0.0049629650540956582,0.008207831402942567,0.018855515164792447
P000051,30,30,1,0.10689209585617565,-0.024220592599089485,-0.10690167449308685
P000051,31,31,1,-0.3301545111832298,0.089099493476336278,0.11823294451590938
P000051,32,32,1,-0.10995293503772308,0.073568797641169859,0.13708738312243662
P000051,33,33,1,-0.094959556054190486,0.035092290992008834,-0.092121388498857648
P000051,34,34,1,0.21235742593063112,0.027041119350709408,0.092446382095904056
P000051,35,35,1,0.24186452641151091,0.0063029458519840986,0.081632445885432503
P000051,36,36,1,0.4423220629868454,0.051194998958857596,0.1277218155186115
P000051,37,37,1,0.019171741204743853,0.01887773071364407,0.044513919776364652
P000051,38,38,1,0.014447387671003398,-0.031065761757017363,-0.029185518754267559
P000051,39,39,1,0.20372470459721725,0.068286803170134469,0.11529366928104379
P000051,40,40,1,0.079451517016787765,0.081385635880755203,0.042467805228300293
P000051,41,41,1,0.055953696471930048,-0.065214577204903534,-0.11130568764473558
P000051,42,42,1,0.053105025702981479,0.015558090320979545,0.012629957681142834
P000051,43,43,1,0.21506161668289447,0.034748811521918554,0.063212678103088393
